Link,Price,Parking,Description_1,Description_2,Description_3
"
Chalet en La Vila Olímpica del Poblenou, Barcelona
",1.060.000,,4 hab.,155 m²,
"
Chalet adosado en calle d'Hèlsinki, La Vila Olímpica del Poblenou, Barcelona
",1.020.000,Garaje incluido,4 hab.,178 m²,
"
Piso en calle de Frederic Mompou, La Vila Olímpica del Poblenou, Barcelona
",990.000,,3 hab.,170 m²,Bajo exterior con ascensor
"
Piso en Salvador Espriu, La Vila Olímpica del Poblenou, Barcelona
",950.000,,4 hab.,163 m²,Planta 1ª exterior con ascensor
"
Piso en calle de Pujades, El Poblenou, Barcelona
",925.530,,3 hab.,89 m²,Planta 5ª 
"
Piso en La Vila Olímpica del Poblenou, Barcelona
",925.000,Garaje incluido,3 hab.,133 m²,Planta 3ª exterior con ascensor
"
Piso en calle Dr. Trueta, 138, El Poblenou, Barcelona
",915.000,,3 hab.,126 m²,Planta 4ª exterior con ascensor
"
Ático en calle de Pere IV, El Poblenou, Barcelona
",895.000,Garaje ,3 hab.,140 m²,Planta 6ª exterior con ascensor
"
Piso en calle de la Jonquera, El Poblenou, Barcelona
",895.000,Garaje incluido,3 hab.,94 m²,Planta 3ª exterior con ascensor
"
Chalet adosado en La Vila Olímpica del Poblenou, Barcelona
",895.000,Garaje incluido,4 hab.,179 m²,
"
Piso en Perello, Diagonal Mar i el Front Marítim del Poblenou, Barcelona
",895.000,Garaje incluido,3 hab.,104 m²,Planta 2ª exterior con ascensor
"
Piso en calle del Perelló, 11, Diagonal Mar i el Front Marítim del Poblenou, Barcelona
",870.000,Garaje incluido,3 hab.,110 m², exterior con ascensor
"
Piso en La Vila Olímpica del Poblenou, Barcelona
",860.000,,4 hab.,156 m²,Planta 2ª exterior con ascensor
"
Piso en avenida d'Icària, La Vila Olímpica del Poblenou, Barcelona
",860.000,,4 hab.,156 m²,Planta 2ª exterior con ascensor
"
Piso en La Vila Olímpica del Poblenou, Barcelona
",860.000,,4 hab.,155 m²,Planta 2ª exterior con ascensor
"
Piso en calle de Salvador Espriu, La Vila Olímpica del Poblenou, Barcelona
",850.000,Garaje incluido,4 hab.,126 m²,Planta 7ª exterior con ascensor
"
Piso en calle de Salvador Espriu, La Vila Olímpica del Poblenou, Barcelona
",850.000,,3 hab.,150 m²,Planta 3ª exterior
"
Piso en La Vila Olímpica del Poblenou, Barcelona
",850.000,Garaje incluido,4 hab.,127 m²,Planta 7ª exterior con ascensor
"
Dúplex en calle del Taulat, 7, El Poblenou, Barcelona
",849.000,Garaje incluido,2 hab.,155 m²,Bajo exterior con ascensor
"
Piso en calle Dr. Trueta, 138, El Poblenou, Barcelona
",840.000,,3 hab.,117 m²,Planta 2ª exterior con ascensor
"
Piso en Passatge de Saladrigas, 4, El Poblenou, Barcelona
",807.000,,3 hab.,112 m²,Bajo exterior con ascensor
"
Piso en calle de Llull, El Poblenou, Barcelona
",795.000,Garaje incluido,2 hab.,146 m²,Bajo exterior sin ascensor
"
Dúplex en Passatge de Mas de Roda, 9, El Poblenou, Barcelona
",795.000,Garaje ,140 m²,Planta 3ª exterior sin ascensor,
"
Piso en El Poblenou, Barcelona
",774.000,,5 hab.,130 m², exterior con ascensor
"
Piso en avenida d'Icària, 129, La Vila Olímpica del Poblenou, Barcelona
",765.000,Garaje incluido,3 hab.,133 m²,Planta 1ª exterior con ascensor
"
Piso en El Poblenou, Barcelona
",750.000,Garaje incluido,3 hab.,106 m²,Planta 4ª exterior con ascensor
"
Estudio en calle de Pere IV, El Parc i la Llacuna del Poblenou, Barcelona
",750.000,,167 m²,Planta 7ª exterior con ascensor,
"
Ático en calle de Pere IV, El Parc i la Llacuna del Poblenou, Barcelona
",750.000,,2 hab.,145 m²,Planta 7ª exterior con ascensor
"
Piso en calle del Taulat, s/n, El Poblenou, Barcelona
",750.000,,4 hab.,112 m²,Planta 1ª 
"
Piso en calle Dr. Trueta, 138, El Poblenou, Barcelona
",750.000,,3 hab.,109 m²,Planta 1ª exterior con ascensor
"
Ático en calle de Vidal i de Valenciano, El Poblenou, Barcelona
",3.500.000,Garaje incluido,3 hab.,190 m²,Planta 15ª exterior con ascensor
"
Ático en El Poblenou, Barcelona
",1.900.000,Garaje incluido,2 hab.,152 m²,Planta 14ª exterior con ascensor
"
Ático en El Poblenou, Barcelona
",1.900.000,Garaje incluido,2 hab.,134 m²,Planta 14ª exterior con ascensor
"
Ático en calle de Vidal i de Valenciano, El Poblenou, Barcelona
",1.900.000,Garaje incluido,2 hab.,134 m²,Planta 14ª exterior con ascensor
"
Ático en calle de Vidal i de Valenciano, El Poblenou, Barcelona
",1.900.000,Garaje incluido,2 hab.,134 m²,Planta 14ª exterior con ascensor
"
Ático en El Poblenou, Barcelona
",1.900.000,Garaje incluido,2 hab.,163 m²,Planta 10ª exterior con ascensor
"
Ático en calle de Vidal i de Valenciano, El Poblenou, Barcelona
",1.900.000,Garaje incluido,2 hab.,152 m²,Planta 14ª exterior con ascensor
"
Piso en calle de Vidal i de Valenciano, El Poblenou, Barcelona
",1.900.000,,2 hab.,184 m², con ascensor
"
Ático en El Poblenou, Barcelona
",1.900.000,Garaje incluido,2 hab.,137 m², exterior con ascensor
"
Piso en El Poblenou, Barcelona
",1.900.000,Garaje incluido,2 hab.,137 m²,Planta 14ª exterior con ascensor
"
Piso en El Poblenou, Barcelona
",1.900.000,Garaje incluido,2 hab.,135 m²,Planta 14ª con ascensor
"
Ático en El Poblenou, Barcelona
",1.900.000,Garaje incluido,2 hab.,184 m², exterior con ascensor
"
Piso en calle de Vidal i de Valenciano, El Poblenou, Barcelona
",1.900.000,Garaje incluido,2 hab.,152 m², exterior con ascensor
"
Piso en El Poblenou, Barcelona
",1.900.000,Garaje incluido,2 hab.,152 m²,Planta 14ª exterior con ascensor
"
Ático en calle de Vidal i de Valenciano, El Poblenou, Barcelona
",1.900.000,Garaje incluido,2 hab.,150 m²,Planta 14ª exterior con ascensor
"
Ático en calle de la Jonquera, El Poblenou, Barcelona
",1.900.000,,2 hab.,119 m², con ascensor
"
Piso en calle de Vidal i de Valenciano, El Poblenou, Barcelona
",1.900.000,Garaje incluido,2 hab.,152 m²,Planta 14ª exterior con ascensor
"
Piso en garcia faria, Diagonal Mar i el Front Marítim del Poblenou, Barcelona
",1.900.000,Garaje incluido,2 hab.,169 m²,Planta 14ª exterior con ascensor
"
Casa o chalet independiente en poblenou, El Poblenou, Barcelona
",1.450.000,,4 hab.,200 m²,
"
Piso en paseo de Garcia Fària, Diagonal Mar i el Front Marítim del Poblenou, Barcelona
",1.350.000,,3 hab.,122 m²,Planta 22ª exterior con ascensor
"
Piso en calle del Perelló, El Poblenou, Barcelona
",1.280.000,Garaje incluido,4 hab.,144 m²,Planta 5ª exterior con ascensor
"
Piso en calle del Perelló, Diagonal Mar i el Front Marítim del Poblenou, Barcelona
",1.280.000,Garaje incluido,4 hab.,144 m²,Planta 5ª exterior con ascensor
