title,neighborhood,price,url,description
Casa adosada  Dr ametller i viñas 33. Casa adosada con 4 habitaciones con parking y calefacción,Girona - Eixample Sud-Migdia,475.000 €,https://www.habitaclia.com/comprar-casa_adosada-con_4_habitaciones_con_parking_y_calefaccion_eixample_sud_migdia-girona-i4860003363562.htm?f=&geo=c&from=list&lo=55,"Podríamos escribir y escribir y escribir para describirte esta vivienda, pero pensamos que si lo que buscas es una casa..."
"Piso  Pla de salt 13. Piso con 3 habitaciones con ascensor, parking, piscina, calefacc",Girona - Santa Eugenia,268.000 €,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_parking_piscina_calefacc_santa_eugenia-girona-i4860003363436.htm?f=&geo=c&from=list&lo=55,"OBRA NUEVA ACABADA - PISO EN CIUTAT JARDÍ GIRONÈS PARC / ESPAI GIRONÈS / SALT  Escucha, mira, respira tranquilidad, po..."
"Piso  en  Centre-Barri Vell. Precioso piso de diseño de 3 dormitorios en venta en barri vell,",Girona - Centre-Barri Vell,545.000 €,https://www.habitaclia.com/comprar-piso-precioso_de_diseno_de_3_dormitorios_en_venta_en_barri_vell_centre_barri_vell-girona-i4975004331238.htm?f=&geo=c&from=list&lo=55,"Piso de diseño totalmente renovado en 2019 por una reconocida interiorista y un arquitecto local, consiguiendo unos espa..."
Piso  Ullastret. Piso con 3 habitaciones con parking y calefacción,Girona - Montilivi,299.000 €,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_parking_y_calefaccion_montilivi-girona-i4860003363564.htm?f=&geo=c&from=list&lo=55,¿Te falta espacio en casa para poder disfrutar de tus hobbies? ¿Eres aficionado al CrossFit y tus horarios no te permite...
"Piso  Carrer caterina albert. Piso con 4 habitaciones con ascensor, calefacción y aire acondic",Girona - La Devesa,260.000 €,https://www.habitaclia.com/comprar-piso-con_4_habitaciones_con_ascensor_calefaccion_y_aire_acondic_la_devesa-girona-i2055003567588.htm?f=&geo=c&from=list&lo=55,"GIRONA | Dehesa | Piso en buen estado junto a la Devesa, en una de las mejores zonas de Girona en venta. Un piso amplio..."
Chalet  en  Palau. Casa en excelentes condiciones de 6 dormitorios en venta en pala,Girona - Palau,1.850.000 €,https://www.habitaclia.com/comprar-chalet-casa_en_excelentes_condiciones_de_6_dormitorios_en_venta_en_pala_palau-girona-i4975004332922.htm?f=&geo=c&from=list&lo=55,"Lucas Fox presenta esta exclusiva casa unifamiliar situada en uno de los barrios residenciales más exclusivos de Girona,..."
"Ático  Ronda ferran puig. Ático con 3 habitaciones con ascensor, calefacción y aire acondi",Girona - La Devesa,330.000 €,https://www.habitaclia.com/comprar-atico-con_3_habitaciones_con_ascensor_calefaccion_y_aire_acondi_la_devesa-girona-i2055003567449.htm?f=&geo=c&from=list&lo=55,GIRONA | Dehesa | Espectaculares pisos áticos dúplex de nueva construcción junto a la dehesa de cara a la catedral de Gi...
Piso  Agudes de les-sta eugenia. Piso,Girona - Can Gibert del Pla,158.000 €,https://www.habitaclia.com/comprar-piso-en_can_gibert_del_pla-girona-i40042000000731.htm?f=&geo=c&from=list&lo=55,"Piso de 3 habitaciones con parking y trastero. Amplio piso, con un gran salón comedor de 20 m2, con mucha luz natural y..."
"Piso  Mq caldes montbui. Piso con 4 habitaciones con ascensor, calefacción y aire acondic",Girona - Eixample Sud-Migdia,328.000 €,https://www.habitaclia.com/comprar-piso-con_4_habitaciones_con_ascensor_calefaccion_y_aire_acondic_eixample_sud_migdia-girona-i4860003363581.htm?f=&geo=c&from=list&lo=55,"Muy cerca del Parque del Migdia, en la zona de Els Químics y rodeado de zonas verdes encontramos este maravilloso piso e..."
"Piso  en  Centre-Barri Vell. Piso esquinero de 2 hab. dobles y 2 baños en girona, les pedrere",Girona - Centre-Barri Vell,250.000 €,https://www.habitaclia.com/comprar-piso-esquinero_de_2_hab_dobles_y_2_banos_en_les_pedrere_centre_barri_vell-girona-i4309002466581.htm?f=&geo=c&from=list&lo=55,"Piso esquinero de 2 habitaciones dobles y 2 baños en Girona, Les Pedreres, con pk grande opcional. Primera planta abiert..."
Piso  Mas barril ii. Piso,Girona - Palau,465.000 €,https://www.habitaclia.com/comprar-piso-en_palau-girona-i40042000000712.htm?f=&geo=c&from=list&lo=55,"Fantástico piso de alto standing de 140 m2, dos plazas de aparcamiento y trastero situado en la mejor zona residencial d..."
Piso  en  Santa Eugenia. Piso en venta en santa eugènia,Girona - Santa Eugenia,241.000 €,https://www.habitaclia.com/comprar-piso-en_venta_en_santa_eugenia_santa_eugenia-girona-i9770004416540.htm?f=&geo=c&from=list&lo=55,"FANTÁSTICO PISO EN VENTA de 144m2.  Vive en una zona residencial de la ciudad, en un piso impecable, tipo dúplex. Dis..."
"Casa adosada  en  Rutlla 204. Adosado en venta en girona, con 155 m2, 4 habitaciones y 3 baños",Girona - Eixample Sud-Migdia,495.000 €,https://www.habitaclia.com/comprar-casa_adosada-adosado_en_venta_en_con_155_m2_4_habitaciones_y_3_banos_rutlla_204_eixample_sud_migdia-girona-i24188000001101.htm?f=&geo=c&from=list&lo=55,Estrena casa en el centro de Girona.  Te ofrecemos la oportunidad de estrenar su nuevo hogar en la localidad de moda de...
